time,VIN12,VIN12F,SW5,5V
0,12,11.9997608,5,5
0.000001,12,11.9997608,5,5
0.000002,12,11.9997608,5,5
0.000004,12,11.9997608,5,5
0.000008,12,11.9997608,5,5
0.000016,12,11.9997608,5,5
0.000032,12,11.9997608,5,5
0.000064,12,11.9997608,5,5
0.000128,12,11.9997608,5,5
0.000228,12,11.9997608,5,5
0.000328,12,11.9997608,5,5
0.000428,12,11.9997608,5,5
0.000528,12,11.9997608,5,5
0.000628,12,11.9997608,5,5
0.000728,12,11.9997608,5,5
0.000828,12,11.9997608,5,5
0.000928,12,11.9997608,5,5
0.001028,12,11.9997608,5,5
0.001128,12,11.9997608,5,5
0.001228,12,11.9997608,5,5
0.001328,12,11.9997608,5,5
0.001428,12,11.9997608,5,5
0.001528,12,11.9997608,5,5
0.001628,12,11.9997608,5,5
0.001728,12,11.9997608,5,5
0.001828,12,11.9997608,5,5
0.001928,12,11.9997608,5,5
0.002028,12,11.9997608,5,5
0.002128,12,11.9997608,5,5
0.002228,12,11.9997608,5,5
0.002328,12,11.9997608,5,5
0.002428,12,11.9997608,5,5
0.002528,12,11.9997608,5,5
0.002628,12,11.9997608,5,5
0.002728,12,11.9997608,5,5
0.002828,12,11.9997608,5,5
0.002928,12,11.9997608,5,5
0.003028,12,11.9997608,5,5
0.003128,12,11.9997608,5,5
0.003228,12,11.9997608,5,5
0.003328,12,11.9997608,5,5
0.003428,12,11.9997608,5,5
0.003528,12,11.9997608,5,5
0.003628,12,11.9997608,5,5
0.003728,12,11.9997608,5,5
0.003828,12,11.9997608,5,5
0.003928,12,11.9997608,5,5
0.004028,12,11.9997608,5,5
0.004128,12,11.9997608,5,5
0.004228,12,11.9997608,5,5
0.004328,12,11.9997608,5,5
0.004428,12,11.9997608,5,5
0.004528,12,11.9997608,5,5
0.004628,12,11.9997608,5,5
0.004728,12,11.9997608,5,5
0.004828,12,11.9997608,5,5
0.004928,12,11.9997608,5,5
0.005028,12,11.9997608,5,5
0.005128,12,11.9997608,5,5
0.005228,12,11.9997608,5,5
0.005328,12,11.9997608,5,5
0.005428,12,11.9997608,5,5
0.005528,12,11.9997608,5,5
0.005628,12,11.9997608,5,5
0.005728,12,11.9997608,5,5
0.005828,12,11.9997608,5,5
0.005928,12,11.9997608,5,5
0.006028,12,11.9997608,5,5
0.006128,12,11.9997608,5,5
0.006228,12,11.9997608,5,5
0.006328,12,11.9997608,5,5
0.006428,12,11.9997608,5,5
0.006528,12,11.9997608,5,5
0.006628,12,11.9997608,5,5
0.006728,12,11.9997608,5,5
0.006828,12,11.9997608,5,5
0.006928,12,11.9997608,5,5
0.007028,12,11.9997608,5,5
0.007128,12,11.9997608,5,5
0.007228,12,11.9997608,5,5
0.007328,12,11.9997608,5,5
0.007428,12,11.9997608,5,5
0.007528,12,11.9997608,5,5
0.007628,12,11.9997608,5,5
0.007728,12,11.9997608,5,5
0.007828,12,11.9997608,5,5
0.007928,12,11.9997608,5,5
0.008028,12,11.9997608,5,5
0.008128,12,11.9997608,5,5
0.008228,12,11.9997608,5,5
0.008328,12,11.9997608,5,5
0.008428,12,11.9997608,5,5
0.008528,12,11.9997608,5,5
0.008628,12,11.9997608,5,5
0.008728,12,11.9997608,5,5
0.008828,12,11.9997608,5,5
0.008928,12,11.9997608,5,5
0.009028,12,11.9997608,5,5
0.009128,12,11.9997608,5,5
0.009228,12,11.9997608,5,5
0.009328,12,11.9997608,5,5
0.009428,12,11.9997608,5,5
0.009528,12,11.9997608,5,5
0.009628,12,11.9997608,5,5
0.009728,12,11.9997608,5,5
0.009828,12,11.9997608,5,5
0.009928,12,11.9997608,5,5
0.010028,12,11.9997608,5,5
0.010128,12,11.9997608,5,5
0.010228,12,11.9997608,5,5
0.010328,12,11.9997608,5,5
0.010428,12,11.9997608,5,5
0.010528,12,11.9997608,5,5
0.010628,12,11.9997608,5,5
0.010728,12,11.9997608,5,5
0.010828,12,11.9997608,5,5
0.010928,12,11.9997608,5,5
0.011028,12,11.9997608,5,5
0.011128,12,11.9997608,5,5
0.011228,12,11.9997608,5,5
0.011328,12,11.9997608,5,5
0.011428,12,11.9997608,5,5
0.011528,12,11.9997608,5,5
0.011628,12,11.9997608,5,5
0.011728,12,11.9997608,5,5
0.011828,12,11.9997608,5,5
0.011928,12,11.9997608,5,5
0.012028,12,11.9997608,5,5
0.012128,12,11.9997608,5,5
0.012228,12,11.9997608,5,5
0.012328,12,11.9997608,5,5
0.012428,12,11.9997608,5,5
0.012528,12,11.9997608,5,5
0.012628,12,11.9997608,5,5
0.012728,12,11.9997608,5,5
0.012828,12,11.9997608,5,5
0.012928,12,11.9997608,5,5
0.013028,12,11.9997608,5,5
0.013128,12,11.9997608,5,5
0.013228,12,11.9997608,5,5
0.013328,12,11.9997608,5,5
0.013428,12,11.9997608,5,5
0.013528,12,11.9997608,5,5
0.013628,12,11.9997608,5,5
0.013728,12,11.9997608,5,5
0.013828,12,11.9997608,5,5
0.013928,12,11.9997608,5,5
0.014028,12,11.9997608,5,5
0.014128,12,11.9997608,5,5
0.014228,12,11.9997608,5,5
0.014328,12,11.9997608,5,5
0.014428,12,11.9997608,5,5
0.014528,12,11.9997608,5,5
0.014628,12,11.9997608,5,5
0.014728,12,11.9997608,5,5
0.014828,12,11.9997608,5,5
0.014928,12,11.9997608,5,5
0.015028,12,11.9997608,5,5
0.015128,12,11.9997608,5,5
0.015228,12,11.9997608,5,5
0.015328,12,11.9997608,5,5
0.015428,12,11.9997608,5,5
0.015528,12,11.9997608,5,5
0.015628,12,11.9997608,5,5
0.015728,12,11.9997608,5,5
0.015828,12,11.9997608,5,5
0.015928,12,11.9997608,5,5
0.016028,12,11.9997608,5,5
0.016128,12,11.9997608,5,5
0.016228,12,11.9997608,5,5
0.016328,12,11.9997608,5,5
0.016428,12,11.9997608,5,5
0.016528,12,11.9997608,5,5
0.016628,12,11.9997608,5,5
0.016728,12,11.9997608,5,5
0.016828,12,11.9997608,5,5
0.016928,12,11.9997608,5,5
0.017028,12,11.9997608,5,5
0.017128,12,11.9997608,5,5
0.017228,12,11.9997608,5,5
0.017328,12,11.9997608,5,5
0.017428,12,11.9997608,5,5
0.017528,12,11.9997608,5,5
0.017628,12,11.9997608,5,5
0.017728,12,11.9997608,5,5
0.017828,12,11.9997608,5,5
0.017928,12,11.9997608,5,5
0.018028,12,11.9997608,5,5
0.018128,12,11.9997608,5,5
0.018228,12,11.9997608,5,5
0.018328,12,11.9997608,5,5
0.018428,12,11.9997608,5,5
0.018528,12,11.9997608,5,5
0.018628,12,11.9997608,5,5
0.018728,12,11.9997608,5,5
0.018828,12,11.9997608,5,5
0.018928,12,11.9997608,5,5
0.019028,12,11.9997608,5,5
0.019128,12,11.9997608,5,5
0.019228,12,11.9997608,5,5
0.019328,12,11.9997608,5,5
0.019428,12,11.9997608,5,5
0.019528,12,11.9997608,5,5
0.019628,12,11.9997608,5,5
0.019728,12,11.9997608,5,5
0.019828,12,11.9997608,5,5
0.019914,12,11.9997608,5,5
0.02,12,11.9997608,5,5
